9/13/2019 2:51:12 PM - *****************FollowUpService - FollowUpProc Starts**************
9/13/2019 2:51:12 PM - Please wait ..fetching policy list from database
9/13/2019 2:51:12 PM - Policy list found from database, count: 1
9/13/2019 3:30:15 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, processing for PMC, firstDate: 6/1/2019 12:00:00 AM, LastDate: 6/30/2019 12:00:00 AM
9/13/2019 3:58:01 PM - *****************FollowUpService - FollowUpProc Starts**************
9/13/2019 3:58:01 PM - Please wait ..fetching policy list from database
9/13/2019 3:58:01 PM - Policy list found from database, count: 1
9/13/2019 3:58:01 PM - Policy ID starting: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d
9/13/2019 3:58:01 PM - Follow up running  for Policy number: testSpeed
9/13/2019 3:58:02 PM - Details fetching for policyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d
9/13/2019 3:58:02 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, _MasterPolicyMode : Monthly
9/13/2019 3:58:02 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, Last follow up runs updated
9/13/2019 3:58:02 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupDate range found as: {FromDate=7/1/2019 12:00:00 AM}{Paymentmode=Monthly}{ToDate=6/28/2019 12:00:00 AM}
9/13/2019 3:58:24 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupDate range found as: {FromDate=1/1/2019 12:00:00 AM}{Paymentmode=Monthly}{ToDate=6/28/2019 12:00:00 AM}
9/13/2019 3:58:33 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, IsTrackPayment true 
9/13/2019 3:58:36 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, DateRangeForMissingLst calculated successfully
9/13/2019 3:58:36 PM - PolicyID: 2d0a97c1-1411-320d-4651-c66b9f5a1b3d, FollowupIssueLst count: 5
